Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2023-02-05,217.26K,-1.66%,106.29k,-1.77%,"52,104K",18,92.34
2023-02-04,170.27K,-0.46%,108.21k,-2.12%,"58,311K",18,92.92
2023-02-03,349.36K,0.02%,110.55k,0.83%,"53,295K",18,92.31
2023-02-02,382.86K,-1.26%,109.64k,-0.44%,"50,548K",18,89.83
2023-02-01,333.18K,2.60%,110.12k,-0.68%,"51,746K",18,91.02
2023-01-31,289.38K,1.28%,110.88k,-1.82%,"60,949K",0,91.44
2023-01-30,339.62K,-3.88%,112.93k,1.42%,"65,240K",0,90.64
2023-01-29,320.86K,3.15%,111.35k,-0.12%,"52,313K",0,92.66
2023-01-28,156.96K,-0.20%,111.48k,-0.04%,"65,936K",0,92.4
2023-01-27,310.36K,0.25%,111.53k,0.70%,"58,077K",0,90.39
2023-01-26,320.97K,-0.17%,110.75k,0.15%,"71,343K",0,89.6
2023-01-25,388.18K,1.87%,110.59k,0.81%,"85,010K",0,-
2023-01-24,334.17K,-1.23%,109.7k,-1.13%,"49,259K",0,90.74
2023-01-23,327.85K,0.91%,110.95k,-0.93%,"66,748K",0,89.89
2023-01-22,280.64K,-0.30%,111.99k,-0.02%,"69,870K",0,85.79
2023-01-21,382.69K,0.43%,112.01k,-0.77%,"67,248K",0,88.85
2023-01-20,373.74K,7.57%,112.88k,-0.09%,"64,416K",0,89.69
2023-01-19,275.76K,1.99%,112.98k,0.76%,"50,713K",0,92.12
2023-01-18,388.67K,-2.21%,112.13k,0.08%,"58,418K",0,91.19
2023-01-17,310.04K,-0.22%,112.04k,-1.12%,"54,748K",0,92.95
2023-01-16,337.46K,1.46%,113.31k,0.84%,"56,564K",0,93.73
2023-01-15,205.80K,-0.37%,112.36k,-0.84%,"53,276K",0,96.51
2023-01-14,458.21K,5.17%,113.32k,0.09%,"54,241K",0,94.36
2023-01-13,426.67K,5.71%,113.22k,0.07%,"55,385K",0,93.31
2023-01-12,522.01K,5.07%,113.14k,0.31%,"54,734K",0,91.22
2023-01-11,291.53K,2.89%,112.79k,0.48%,"66,331K",0,88.82
2023-01-10,247.14K,1.51%,112.26k,1.07%,"75,916K",0,88.28
2023-01-09,301.24K,0.36%,111.07k,0.92%,"80,768K",0,89.51
2023-01-08,144.84K,1.04%,110.07k,-1.50%,"52,482K",0,87.33
2023-01-07,110.48K,-0.04%,111.75k,-0.33%,"56,969K",0,84.66
2023-01-06,233.47K,0.72%,112.12k,-0.12%,"67,075K",0,84.25
2023-01-05,178.96K,-0.13%,112.25k,-0.31%,"52,363K",0,84.89
2023-01-04,247.39K,1.07%,112.6k,-1.32%,"58,851K",0,88.82
2023-01-03,178.73K,0.00%,114.11k,0.00%,"71,496K",0,91.21
2023-01-02,136.03K,0.34%,114.1k,0.80%,"48,416K",0,92.77
2023-01-01,107.84K,0.49%,113.19k,1.65%,"48,713K",0,92.59
2022-12-31,130.44K,-0.42%,111.35k,0.64%,"62,487K",0,90.36
2022-12-30,192.76K,-0.18%,110.64k,0.39%,"51,266K",0,91.04
2022-12-29,181.47K,0.55%,110.21k,0.44%,"53,575K",0,93.66
2022-12-28,217.96K,-0.96%,109.74k,-0.02%,"74,316K",0,92.73
2022-12-27,192.18K,-1.25%,109.76k,0.02%,"117,887K",0,94.5
2022-12-26,133.36K,0.51%,109.74k,0.07%,"57,371K",0,92.42
2022-12-25,132.89K,-0.03%,109.66k,-0.14%,"53,018K",0,90.45
2022-12-24,110.12K,0.35%,109.82k,1.37%,"49,613K",0,88.06
2022-12-23,184.12K,-0.25%,108.33k,-0.62%,"76,913K",0,92.27
2022-12-22,198.28K,-0.07%,109k,-0.64%,"77,069K",0,95.25
2022-12-21,174.34K,-0.42%,109.71k,-0.12%,"52,266K",0,95.38
2022-12-20,284.57K,2.81%,109.84k,-0.34%,"36,999K",0,94.74
2022-12-19,207.93K,-1.79%,110.21k,0.35%,"40,959K",0,93.99
2022-12-18,124.29K,-0.21%,109.83k,0.27%,"44,159K",0,97.88
2022-12-17,164.49K,0.89%,109.53k,-0.14%,"41,545K",0,102.84
2022-12-16,303.56K,-4.19%,109.69k,0.91%,"44,680K",0,100.21
2022-12-15,263.44K,-2.47%,108.7k,-0.07%,"45,124K",0,99.68
2022-12-14,318.98K,0.10%,108.77k,-0.06%,"45,767K",0,99.92
2022-12-13,328.71K,3.30%,108.83k,0.03%,"47,809K",0,99.54
2022-12-12,249.39K,0.68%,108.8k,0.31%,"50,933K",0,96.54
2022-12-11,167.20K,-0.20%,108.47k,-0.19%,"59,742K",0,93.97
2022-12-10,148.81K,0.01%,108.68k,0.05%,"66,826K",0,94.36
2022-12-09,260.84K,-0.58%,108.62k,-0.39%,"98,378K",0,92.85
2022-12-08,261.64K,2.32%,109.05k,0.81%,"38,607K",0,90.45
2022-12-07,244.36K,-1.49%,108.17k,0.64%,"40,965K",0,92.12
2022-12-06,246.19K,0.72%,107.48k,0.85%,"41,815K",0,94.6
2022-12-05,268.72K,-0.85%,106.57k,0.07%,"48,953K",0,98.24
2022-12-04,197.12K,1.35%,106.5k,-0.04%,"47,647K",0,96.03
2022-12-03,169.29K,-1.22%,106.55k,0.87%,"43,546K",0,94.89
2022-12-02,227.01K,0.72%,105.63k,0.51%,"47,465K",0,-
2022-12-01,266.14K,-1.12%,105.09k,-0.10%,"56,978K",0,94.31
2022-11-30,348.22K,4.40%,105.2k,-1.11%,"39,786K",0,93.75
2022-11-29,271.58K,1.41%,106.37k,-0.06%,"48,075K",0,95.73
2022-11-28,284.84K,-1.30%,106.43k,-0.17%,"53,667K",0,98.4
2022-11-27,173.25K,-0.19%,106.62k,0.88%,"55,705K",0,98.02
2022-11-26,194.94K,-0.34%,105.69k,-0.76%,"76,054K",0,101.54
2022-11-25,204.07K,-0.54%,106.51k,0.25%,"70,237K",0,107.23
2022-11-24,229.59K,-0.14%,106.24k,0.75%,"67,052K",0,105.04
2022-11-23,305.08K,2.53%,105.45k,-0.43%,"38,594K",0,101.43
2022-11-22,287.21K,2.77%,105.9k,-0.42%,"45,623K",0,104.96
2022-11-21,372.15K,-3.13%,106.35k,-0.09%,"52,192K",0,101.25
2022-11-20,172.83K,-2.47%,106.45k,-0.69%,"45,848K",0,102.67
2022-11-19,114.89K,0.37%,107.19k,0.66%,"43,839K",0,101.96
2022-11-18,241.96K,-0.32%,106.48k,-0.23%,"46,797K",0,104.39
2022-11-17,257.00K,0.91%,106.73k,-0.17%,"49,290K",0,104.84
2022-11-16,295.73K,-2.10%,106.91k,-0.16%,"52,907K",0,102.62
2022-11-15,337.15K,1.69%,107.08k,0.37%,"65,221K",0,98.33
2022-11-14,442.46K,1.77%,106.68k,-0.64%,"57,761K",0,97.73
2022-11-13,210.80K,-2.80%,107.37k,-0.64%,"68,607K",0,98.41
2022-11-12,192.91K,-1.49%,108.06k,-0.44%,"48,235K",0,102.16
2022-11-11,466.35K,-3.07%,108.54k,0.54%,"46,186K",0,-
2022-11-10,720.74K,10.71%,107.96k,-0.11%,"42,797K",0,104.03
2022-11-09,869.57K,-14.25%,108.07k,0.05%,"47,215K",0,98.19
2022-11-08,865.10K,-10.01%,108.02k,0.95%,"46,368K",0,101.73
2022-11-07,414.24K,-1.56%,107.01k,-0.11%,"43,800K",0,111.07
2022-11-06,242.26K,-1.81%,107.13k,0.03%,"48,309K",0,108.38
2022-11-05,261.23K,0.74%,107.1k,0.53%,"63,033K",0,106.34
2022-11-04,499.50K,4.65%,106.54k,1.33%,"54,575K",0,113.4
2022-11-03,347.23K,0.26%,105.14k,0.00%,"56,394K",0,114.22
2022-11-02,420.23K,-1.61%,105.14k,0.43%,"46,968K",0,113.21
2022-11-01,302.72K,-0.06%,104.68k,-0.40%,"60,415K",0,110.03
2022-10-31,327.47K,-0.63%,105.11k,0.57%,"46,565K",0,106.51
2022-10-30,207.63K,-0.88%,104.51k,0.55%,"39,557K",0,106.48
2022-10-29,276.54K,1.05%,103.94k,-0.24%,"36,325K",0,106.62
2022-10-28,318.90K,1.49%,104.18k,-0.24%,"38,891K",0,111.79
2022-10-27,365.49K,-2.29%,104.43k,0.22%,"42,241K",0,108.43
2022-10-26,427.99K,3.42%,104.2k,-0.23%,"59,878K",0,116.29
2022-10-25,371.54K,3.89%,104.43k,-0.25%,"64,866K",0,114.99
2022-10-24,286.94K,-1.22%,104.7k,0.00%,"54,451K",0,116.33
2022-10-23,180.63K,1.91%,104.7k,1.03%,"66,410K",0,118.67
2022-10-22,118.24K,0.22%,103.63k,-1.45%,"73,838K",0,115.63
2022-10-21,294.66K,0.63%,105.16k,-0.34%,"99,657K",0,118.94
2022-10-20,253.20K,-0.42%,105.52k,0.42%,"78,113K",0,118.83
2022-10-19,209.28K,-1.06%,105.08k,0.89%,"58,855K",0,116.52
2022-10-18,290.07K,-1.13%,104.15k,0.90%,"63,989K",0,115.6
2022-10-17,248.40K,1.49%,103.22k,0.66%,"73,911K",0,115.66
2022-10-16,140.95K,1.01%,102.54k,0.22%,"62,131K",0,112.12
2022-10-15,123.66K,-0.59%,102.32k,-0.12%,"54,516K",0,108.99
2022-10-14,400.45K,-1.02%,102.44k,0.29%,"58,583K",0,112.7
2022-10-13,455.13K,1.17%,102.14k,0.31%,"52,145K",0,116.41
2022-10-12,242.18K,0.50%,101.82k,-0.66%,"67,044K",0,113.84
2022-10-11,288.57K,-0.39%,102.5k,0.73%,"70,873K",0,112.36
2022-10-10,243.77K,-1.58%,101.75k,0.08%,"67,017K",0,108.93
2022-10-09,127.53K,0.13%,101.67k,0.00%,"76,147K",0,109.19
2022-10-08,113.50K,-0.60%,101.67k,-0.16%,"64,445K",0,107.94
2022-10-07,263.50K,-2.13%,101.83k,-0.22%,"63,330K",0,109.47
2022-10-06,370.60K,-1.00%,102.06k,0.20%,"62,633K",0,108.07
2022-10-05,352.76K,-0.90%,101.86k,-0.21%,"64,885K",0,105.52
2022-10-04,368.17K,3.63%,102.08k,-1.04%,"47,575K",0,109.79
